"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DCUE","Dominion Energy, Inc.","107.52","n/a","2019","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dcue",
"DRUA","Dominion Energy, Inc.","26.34","n/a","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/drua",
"DPZ","Domino&#39;s Pizza Inc","282.89","$11.57B","2004","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/dpz",
"UFS","Domtar Corporation","36.12","$2.35B","n/a","Basic Industries","Paper","https://old.nasdaq.com/symbol/ufs",
"DCI","Donaldson Company, Inc.","52.7","$6.67B","n/a","Capital Goods","Pollution Control Equipment","https://old.nasdaq.com/symbol/dci",
"DFIN","Donnelley Financial Solutions, Inc.","9.18","$314.87M","2016","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/dfin",
"LPG","Dorian LPG Ltd.","13.66","$745.78M","2014","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/lpg",
"DSL","DoubleLine Income Solutions Fund","20.31","$2.06B","2013","n/a","n/a","https://old.nasdaq.com/symbol/dsl",
"DBL","DoubleLine Opportunistic Credit Fund","20.85","$311.34M","2012","n/a","n/a","https://old.nasdaq.com/symbol/dbl",
"PLOW","Douglas Dynamics, Inc.","55.14","$1.26B","2010","Capital Goods","Construction/Ag Equipment/Trucks","https://old.nasdaq.com/symbol/plow",
"DEI","Douglas Emmett, Inc.","41.76","$7.32B","2006","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dei",
"DOV","Dover Corporation","115.43","$16.77B","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/dov",
"DVD","Dover Motorsports, Inc.","1.8","$65.59M","1996","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/dvd",
"DOW","Dow Inc.","47.18","$34.98B","2019","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/dow",
"RDY","Dr. Reddy&#39;s Laboratories Ltd","44.22","$7.33B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rdy",
"DRD","DRDGOLD Limited","6.13","$421.1M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/drd",
"DRQ","Dril-Quip, Inc.","41.97","$1.52B","1997","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/drq",
"DS","Drive Shack Inc.","4.08","$273.59M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/ds",
"DS^B","Drive Shack Inc.","26.25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ds^b",
"DS^C","Drive Shack Inc.","23.2","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ds^c",
"DS^D","Drive Shack Inc.","23.47","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ds^d",
"DTE","DTE Energy Company","132.29","$25.41B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dte",
"DTJ","DTE Energy Company","26.4817","n/a","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dtj",
"DTP","DTE Energy Company","51.14","n/a","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dtp",
